club,club_speed_mph,face_angle_deg,path_deg,contact_point,carry_yards,lateral_yards,shot_shape
PW,28.6,-18.0,0.0,-0.1,54.3,-36.0,draw
PW,29.0,15.1,4.6,-0.3,55.1,35.7,fade
PW,19.4,10.7,9.3,1.7,40.0,32.6,straight
PW,25.0,-15.1,-13.9,0.0,47.5,-46.9,straight
PW,24.5,-10.7,-15.0,1.2,46.5,-39.4,fade
PW,22.1,13.7,15.0,-3.0,42.0,45.4,straight
PW,22.3,13.7,15.0,-3.0,42.4,45.4,straight
PW,18.9,-9.2,-15.0,1.1,40.0,-36.4,fade
PW,24.0,-12.2,-15.0,1.1,45.6,-42.4,fade
